Name,Disc. Date,mmax,Host Name,R.A.,Dec.,z,Type,Phot.,Spec.
SN2000F,1/29/00,16.98,IC 302,"03:12:52.69,03:12:52.71,03:12:52.711","+04:42:34.8,+04:42:34.4,+04:42:34.42",0.0195,Ic,13,2
SN2000H,2/7/00,16.6,IC 454,"06:51:07.67,06:51:07.670","+12:55:18.5,+12:55:18.52","0.013,0.014",IIb,1,13
SN2000S,2/28/00,20.9,MCG -01-27-20,"10:34:55.89,10:34:55.891","-06:28:26.0,-06:28:26.00",0.029,Ic,1,
SN2000cr,6/25/00,15.9,NGC 5395,"13:58:38.37,13:58:38.369","+37:26:12.4,+37:26:12.9,+37:26:12.41","0.012,0.011,0.012",Ic,1,7
SN2000ds,10/10/00,17.3,NGC 2768,"09:11:36.24,09:11:36.28,09:11:36.240","+60:01:42.2,+60:01:43.3,+60:01:42.20",0.0047,IIb/Ib/Ic (Ca rich),1,1
SN2000dt,10/13/00,17.4,UGC 3411,"06:10:54.68,06:10:54.679","+62:01:27.2,+62:01:27.19,+62:01:27.4","0.023,0.023",Ib,1,6
SN2000dv,10/17/00,17.5,UGC 4671,"08:56:43.40,08:56:43.320","+52:06:13.2,+52:06:13.28",0.013,Ib,1,1
SN2000er,11/23/00,15.1,PGC 9132,"02:24:32.54,02:24:32.539","-58:26:18.0,-58:26:17.99","0.031,0.031",Ibn,10,5
SN2000ew,11/28/00,14,NGC 3810,"11:40:58.52,11:40:58.60,11:40:58.519","+11:27:55.9,+11:27:55.8,+11:27:55.91","0.0033,0.0035",Ib,10,2
SN2000fn,12/17/00,18.8,NGC 2526,"08:06:57.79,08:06:57.790","+08:00:19.3,+08:00:19.30",0.015,Ib,1,1
SN2001B,1/3/01,14.3,IC 391,"04:57:19.24,04:57:19.31,04:57:19.241","+78:11:16.5,+78:11:16.6,+78:11:16.51","0.0052,0.0052",Ib,41,10
SN2001ad,3/11/01,17,NGC 6373,"17:24:02.45,17:24:02.4,17:24:02.450,17:24:02.40","+58:59:52.2,+58:59:52.08,+58:59:52.19,+58:59:52.0","0.01103,0.01103",II,1,3
SN2001gl,4/15/01,23.7,A140116+0512,"14:01:16.60,14:01:16.601","+05:12:48.9,+05:12:48.89","0.36,0.36",Ib/c,1,
SN2001ci,4/25/01,17.4,NGC 3079,"10:01:57.33,10:01:57.21,10:01:57.331","+55:41:14.6,+55:41:14.0,+55:41:14.60","0.0037,0.0037",Ic,13,3
SN2001bb,4/29/01,15.8,IC 4319,"13:43:25.31,13:43:25.310","-29:48:13.1,-29:48:13.10",0.015521,Ic,1,2
SN2001co,6/11/01,18.5,NGC 5559,"14:19:11.80,14:19:11.801","+24:47:42.9,+24:47:42.90",0.017,Ib/Ic (Ca rich),1,4
SN2001fx,11/8/01,18.2,IC 5345,"23:39:32.72,23:39:32.719","-22:24:46.3,-22:24:46.30",0.0266,Ib,1,1
SN2001fw,11/11/01,18.2,UGC 2116,"02:38:10.45,02:38:10.450","+30:50:54.6,+30:50:54.60","0.03,0.03",Ic,1,3
SN2001im,11/21/01,21,A020416+0039,"02:04:16.80,02:04:16.8,02:04:16.800","+00:39:11.0,+00:39:11.2,+00:39:11.02","0.07501,0.075",II,1,
SN2002J,1/21/02,16.6,NGC 3464,"10:54:38.36,10:54:38.359","-21:03:53.6,-21:03:53.60",0.01249,Ic,1,2
SN2002ao,1/25/02,13.6,UGC 9299,"14:29:35.74,14:29:35.76,14:29:35.741","-00:00:55.8,-00:00:55.80",0.005134,Ic,1,9
SN2002ap,1/29/02,12.04,NGC 628,"01:36:23.85,01:36:23.851,01:36:23.87","+15:45:13.2,+15:45:13.21,+15:45:13.0",0.002108,Ic BL,1781,59
SN2002bm,3/6/02,17,MCG -01-32-19,"12:30:16.90,12:30:16.901","-08:23:34.8,-08:23:34.80","0.018,0.018",Ic,1,2
SN2002cl,4/7/02,21.6,A134409-0012,"13:44:09.94,13:44:09.941","-00:12:57.8,-00:12:57.82","0.072,0.072",Ic,1,
SN2002fh,5/9/02,22.4,A132546+2734,"13:25:46.62,13:25:46.620","+27:34:21.1,+27:34:21.11","0.33,0.33",Ic,1,
SN2002gy,10/16/02,17.6,UGC 2701,"03:22:36.45,03:22:36.449","+09:28:22.0,+09:28:22.01",0.024,Ic BL,1,1
SN2002if,10/29/02,22,A015004+0000,"01:50:04.51,01:50:04.510","+00:00:26.4,+00:00:26.39","0.321,0.32,0.321",Ic,1,
SN2002jp,11/23/02,16.7,NGC 3313,"10:37:26.50,10:37:26.501","-25:21:35.2,-25:21:35.21","0.012,0.012",Ic,1,2
SN2002ji,11/30/02,14.7,NGC 3655,"11:22:53.15,11:22:53.150","+16:35:10.0,+16:35:10.00",0.0048,Ib,1,14
SN2002jv,12/6/02,22.6,A020434-0351,"02:04:34.82,02:04:34.819,02:04:34.815","-03:51:57.9,-03:51:57.89,-03:51:57.919",0.2203,Ib,1,3
SN2002lt,12/11/02,24.5,A080859+0643,"08:08:59.858,08:08:59.86,08:08:59.861","+06:43:37.52,+06:43:37.5,+06:43:37.49","1.006,1,0.8",Ic,1,
SN2003A,1/3/03,17.4,UGC 5904,"10:48:33.86,10:48:33.859,10:48:33.868","+66:22:29.4,+66:22:29.39,+66:22:29.49","0.022,0.023,0.022",Ib,1,2
SN2003ac,1/7/03,18.9,IC 3203,"12:21:47.35,12:21:47.350,12:21:47.358","+25:52:33.1,+25:52:33.10,+25:52:33.19",0.023,II,1,
SN2003aa,1/31/03,16,NGC 3367,"10:46:36.82,10:46:36.821,10:46:36.828","+13:45:32.2,+13:45:32.18,+13:45:32.29","0.01,0.01",Ic,1,5
SN2003dh,3/31/03,12.62,A104450+2131,"10:44:50.030,10:44:50.01,10:44:50.009,10:44:50.018","+21:31:18.15,+21:31:17.8,+21:31:17.80,+21:31:17.89",0.1685,Ic BL,2781,16
SN2003dg,4/8/03,19.1,UGC 6934,"11:57:31.97,11:57:31.92,11:57:31.970,11:57:31.978","-01:15:13.6,-01:15:13.68,-01:15:13.61,-01:15:13.69","0.0184,0.018",Ib/Ic (Ca rich),1,1
SN2003dr,4/13/03,18.3,NGC 5714,"14:38:11.13,14:38:11.129,14:38:11.138","+46:38:03.4,+46:38:03.41,+46:38:03.49",0.00749,IIb/Ib/Ic (Ca rich),1,1
SN2003ds,4/14/03,18.5,MCG +08-19-17,"10:18:58.35,10:18:58.32,10:18:58.351,10:18:58.358","+46:27:15.5,+46:27:15.48,+46:27:15.52,+46:27:15.59","0.02993,0.03",Ic,1,1
SN2003ed,5/3/03,15,NGC 5303A,"13:47:45.36,13:47:45.38,13:47:45.360,13:47:45.398","+38:18:20.3,+38:18:20.2,+38:18:20.30,+38:18:21.09","0.0045,0.0045",IIb,1,8
SN2003el,5/22/03,18.9,NGC 5000,"13:09:46.20,13:09:46.200,13:09:46.208","+28:54:21.6,+28:54:21.60,+28:54:21.69","0.019,0.019",Ic,1,7
SN2003ev,6/1/03,15.7,A131031-2139,"13:10:31.80,13:10:31.800,13:10:31.808","-21:39:49.6,-21:39:49.61,-21:39:49.69","0.024,0.024",Ic,1,1
SN2003fc,6/5/03,18.3,A200822-1736,"20:08:22.08,20:08:22.080,20:08:22.088","-17:36:30.5,-17:36:30.49,-17:36:30.59","0.035,0.035",Ic,1,1
SN2003gf,6/24/03,14.5,MCG -04-52-26,"22:13:40.94,22:13:40.939","-21:44:03.3,-21:44:03.30","0.0087,0.0087",Ic,1,7
SN2003gk,7/1/03,17.2,NGC 7460,"23:01:42.99,23:01:42.989,23:01:42.998","+02:16:08.7,+02:16:08.69,+02:16:08.79","0.011,0.011",Ib,1,5
SN2003gu,8/3/03,16.5,UGC 12331,"23:02:59.45,23:02:59.450","+34:43:19.6,+34:43:19.60",0.019,IIb,1,4
SN2003hp,8/25/03,18.4,UGC 10942,"17:40:18.69,17:40:18.691,17:40:18.698","+51:01:41.3,+51:01:41.30,+51:01:41.39",0.021,Ic BL,1,1
SN2003ih,9/15/03,18.1,UGC 2836,"03:43:57.72,03:43:57.720","+39:17:43.9,+39:17:43.2,+39:17:43.91",0.017,Ic,1,1
SN2003id,9/16/03,16.33,NGC 895,"02:21:35.70,02:21:35.700","-05:31:51.0,-05:31:50.99","0.0076,0.0076",Ic Pec,81,2
SN2003ig,9/22/03,18.2,UGC 2971,"04:09:43.50,04:09:43.500","+37:00:45.8,+37:00:45.79",0.019,Ic,1,1
SN2003is,10/14/03,18,MCG +07-40-03,"19:21:08.00,19:21:07.999","+43:19:35.4,+43:19:35.40","0.018,0.018",Ib,1,3
SN2003jp,10/22/03,22.9,A232603-0859,"23:26:03.28,23:26:03.281,23:26:03.288","-08:59:22.7,-08:59:22.70,-08:59:22.79,-08:59:22.829",0.0829,Ic,1,1
SN2003jg,10/24/03,16.8,NGC 2997,"09:45:38.40,09:45:37.91,09:45:37.910","-31:11:19.9,-31:11:21.0,-31:11:21.01",0.0036,Ic,1,2
SN2003jd,10/25/03,15.61,MCG -01-59-21,"23:21:03.38,23:21:03.379","-04:53:45.5,-04:53:45.49",0.019,Ic BL,61,28
SN2003kb,11/18/03,18,UGC 3432,"06:16:12.59,06:16:12.590","+57:03:12.9,+57:03:12.89","0.017,0.017",Ic,1,5
SN2003ki,11/28/03,18,MCG +11-10-34,"07:51:33.24,07:51:33.240","+63:55:51.6,+63:55:51.60","0.025,0.025",IIb,1,3
SN2003lw,12/15/03,20.2,A080230-3951,"08:02:30.1,08:02:30.2,08:02:30.199,08:02:30.238,08:02:30.20","-39:51:03,-39:51:02.99,-39:51:03.19,-39:51:03.0",0.1055,Ic BL,1,2
SN2004C,1/12/04,15.4,NGC 3683,"11:27:29.72,11:27:29.76,11:27:29.719","+56:52:48.2,+56:52:48.36,+56:52:48.22","0.0057,0.0057",IIb,10,9
SN2004af,2/18/04,22.5,A053803-2359,"05:38:03.91,05:38:03.910","-23:59:00.2,-23:59:00.20","0.056,0.056",Ic,1,
SN2004ai,2/18/04,23.4,A135426-1241,"13:54:26.09,13:54:26.090","-12:41:15.9,-12:41:15.90","0.59,0.59",Ic,1,
SN2004ao,3/7/04,14.51,UGC 10862,"17:28:09.35,17:28:09.350","+07:24:55.5,+07:24:55.51",0.005641,Ib,106,38
SN2004ax,3/21/04,17.7,NGC 5939,"15:24:46.76,15:24:46.759","+68:43:56.3,+68:43:56.32","0.022,0.022",Ib/Ic (Ca rich?)?,1,3
SN2004bf,4/7/04,17.5,UGC 8739,"13:49:15.45,13:49:15.451","+35:15:12.5,+35:15:12.49","0.017,0.017",Ib,1,5
SN2004bi,4/13/04,17.8,UGC 5894,"10:47:37.45,10:47:37.450","+26:18:12.0,+26:18:11.99","0.022,0.022",IIb,1,7
SN2004cf,5/14/04,22.9,A141105-1144,"14:11:05.77,14:11:05.770","-11:44:09.4,-11:44:09.38","0.247,0.25,0.247",Ib/c,1,
SN2004bs,5/16/04,17,NGC 3323,"10:39:39.30,10:39:39.300","+25:19:19.9,+25:19:19.88",0.017225,Ib,1,1
SN2004bu,5/18/04,16.2,UGC 10089,"15:54:52.03,15:54:52.030","+21:07:11.0,+21:07:10.99",0.019,Ic,1,4
SN2004cc,6/10/04,15.3,NGC 4568,"12:36:34.40,12:36:34.32,12:36:34.399","+11:14:32.8,+11:14:32.64,+11:14:32.78",0.007522,Ib,1,3
SN2004dc,6/29/04,19.5,IC 1504,"23:41:18.47,23:41:18.470","+04:01:06.3,+04:01:06.31",0.021,Ic,1,1
SN2004dm,7/14/04,21.6,A224321-4019,"22:43:21.36,22:43:21.360","-40:19:46.7,-40:19:46.70","0.225,0.23,0.225",Ib,1,
SN2004dn,8/2/04,16.69,UGC 2069,"02:35:37.30,02:35:37.301","+37:37:54.2,+37:37:54.19",0.0126,Ic,105,8
SN2004dx,8/19/04,18.1,MCG +07-37-36,"18:18:06.15,18:18:06.149","+39:49:24.9,+39:49:24.89",0.03,Ic,1,1
SN2004eh,9/8/04,17.1,UGC 1892,"02:26:11.82,02:26:11.820","+27:36:24.1,+27:36:24.08",0.033,Ib,1,1
SN2004eu,10/6/04,17.1,MCG +07-05-39,"02:20:34.86,02:20:34.860","+41:34:18.5,+41:34:18.52",0.022,Ic,1,8
SN2004ew,10/8/04,17.3,ESO 153-G17,"02:05:06.17,02:05:06.170","-55:06:31.6,-55:06:31.61",0.022,Ib,110,
SN2004ib,10/8/04,20.3,A024056-0010,"02:40:56.40,02:40:56.4,02:40:56.400","-00:10:48.3,-00:10:48.36,-00:10:48.29","0.05621,0.056",Ic,1,
SN2004ex,10/11/04,16.74,NGC 182,"00:38:10.19,00:38:10.190","+02:43:17.2,+02:43:17.18",0.018,IIb,190,2
SN2004fq,10/13/04,21.5,A232745-0831,"23:27:45.64,23:27:45.641,23:27:45.638","-08:31:12.8,-08:31:12.77,-08:31:12.79,-08:31:12.785",0.1462,Ic,1,1
SN2004fe,10/30/04,16.53,NGC 132,"00:30:11.27,00:30:11.270","+02:05:23.5,+02:05:23.50","0.018,0.018",Ic,169,12
SN2004ff,10/30/04,17.08,ESO 552-G40,"04:58:46.19,04:58:46.190","-21:34:12.0,-21:34:12.00",0.023,IIb,138,3
SN2004ge,11/17/04,17.07,UGC 3555,"06:50:00.13,06:50:00.130","+25:38:02.0,+25:38:02.00",0.016,Ic,19,2
SN2004gj,11/23/04,18.4,IC 701,"11:30:59.63,11:30:59.630","+20:28:06.8,+20:28:06.82",0.021,IIb,1,1
SN2004gn,12/1/04,16.6,NGC 4527,"12:34:12.10,12:34:12.101","+02:39:34.4,+02:39:34.42",0.0058,Ib,1,2
SN2004gv,12/13/04,16.37,NGC 856,"02:13:37.42,02:13:37.421","-00:43:05.8,-00:43:05.81","0.02,0.02",Ib,153,6
SN2005C,1/11/05,18.4,A111529+6045,"11:15:29.42,11:15:29.419","+60:45:05.5,+60:45:05.51",0.046,Ib,1,1
SN2005D,1/13/05,18.4,UGC 3856,"07:26:57.36,07:26:57.360","+20:22:53.4,+20:22:53.40","0.028,0.028",IIb,1,1
SN2005O,1/16/05,15.2,NGC 3340,"10:42:18.32,10:42:18.24,10:42:18.319","-00:22:41.2,-00:22:41.16,-00:22:41.20","0.01814,0.019",Ib,1,3
SN2005N,1/19/05,18.3,NGC 5420,"14:04:02.61,14:04:02.609","-14:37:48.8,-14:37:48.79",0.0163,Ib/c,1,1
SN2005U,1/30/05,15.8,NGC 3690,"11:28:33.22,11:28:33.221,11:28:33.13","+58:33:42.5,+58:33:42.52,+58:33:41.3","0.01,0.01",IIb,1,4
SN2005V,1/30/05,13.8,NGC 2146,"06:18:38.28,06:18:38.280","+78:21:28.8,+78:21:28.80",0.002979,Ib/c,1,1
SN2005ae,2/1/05,15.9,ESO 209-G9,"07:58:15.84,07:58:15.840","-49:51:19.9,-49:51:19.91",0.0037,Ib,1,1
SN2005aj,2/18/05,18,UGC 2411,"02:58:48.85,02:58:48.850","+75:45:13.8,+75:45:13.79",0.0085,Ic,1,1
SN2005at,3/5/05,14.3,NGC 6744,"19:09:53.57,19:09:53.570,19:09:53.62","-63:49:22.8,-63:49:22.80,-63:49:24.1",0.0028,Ic,112,
SN2005ar,3/10/05,17.6,A111519-0346,"11:15:19.03,11:15:19.030","-03:46:18.5,-03:46:18.52",0.025,Ib,1,3
SN2005aw,3/24/05,14.87,IC 4837A,"19:15:17.44,19:15:17.441","-54:08:24.9,-54:08:24.90",0.0095,Ic,117,
SN2005az,3/28/05,15.14,NGC 4961,"13:05:46.97,13:05:46.970","+27:44:08.4,+27:44:08.41",0.0085,Ic,159,22
SN2005br,3/28/05,16.4,IC 5084,"21:09:13.09,21:09:13.090","-63:17:05.6,-63:17:05.60",0.0103,Ib,1,1
