Title: Type Ibn Supernovae Show Photometric Homogeneity and Spectral 
       Diversity at Maximum Light
Authors: Hosseinzadeh G., Arcavi I., Valenti S., McCully C., Howell D.A.,
         Johansson J., Sollerman J., Pastorello A., Benetti S., Cao Y., 
         Cenko S.B., Clubb K.I., Corsi A., Duggan G., Elias-Rosa N., 
         Filippenko A.V., Fox O.D., Fremling C., Horesh A., Karamehmetoglu E., 
         Kasliwal M., Marion G.H., Ofek E., Sand D., Taddia F., Zheng W., 
         Fraser M., Gal-Yam A., Inserra C., Laher R., Masci F., 
         Rebbapragada U., Smartt S., Smith K.W., Sullivan M., Surace J., 
         Wozniak P.
Table: Light Curve Templates
================================================================================
Byte-by-byte Description of file: apjaa3f02t6_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units   Label  Explanations
--------------------------------------------------------------------------------
   1-  4 F4.1   ---     Phase  Days after maximum 
31.5 -15.94 0.29 0.65 3.27 0.31 0.36  9 
32.0 -15.90 0.29 0.66 3.31 0.32 0.36  9 
32.5 -15.86 0.30 0.66 3.34 0.32 0.36  9 
33.0 -15.83 0.30 0.66 3.38 0.33 0.36  9 
33.5 -15.79 0.31 0.66 3.41 0.33 0.37  9 
34.0 -15.76 0.31 0.66 3.44 0.34 0.37  9 
34.5 -15.72 0.32 0.66 3.48 0.34 0.37  9 
35.0 -15.69 0.32 0.66 3.51 0.34 0.37  9 
35.5 -15.66 0.33 0.66 3.54 0.35 0.37  9 
36.0 -15.63 0.33 0.67 3.57 0.35 0.38  9 
36.5 -15.59 0.34 0.67 3.61 0.36 0.38  9 
37.0 -15.56 0.34 0.67 3.64 0.36 0.38  9 
37.5 -15.53 0.35 0.67 3.67 0.37 0.38  9 
38.0 -15.50 0.35 0.67 3.70 0.37 0.38  9 
38.5 -15.47 0.36 0.67 3.73 0.38 0.39  9 
39.0 -15.44 0.36 0.67 3.76 0.38 0.39  9 
39.5 -15.42 0.37 0.67 3.79 0.38 0.39  9 
40.0 -15.39 0.37 0.67 3.82 0.39 0.39  9 
40.5 -15.36 0.38 0.67 3.85 0.39 0.39  9 
41.0 -15.33 0.39 0.67 3.87 0.40 0.40  9 
41.5 -15.31 0.39 0.68 3.90 0.40 0.40  9 
42.0 -15.28 0.40 0.68 3.93 0.41 0.40  9 
42.5 -15.25 0.40 0.68 3.96 0.41 0.40  9 
43.0 -15.23 0.41 0.68 3.99 0.41 0.40  9 
43.5 -15.20 0.42 0.68 4.02 0.42 0.40  8 
44.0 -15.18 0.42 0.68 4.04 0.42 0.41  8 
44.5 -15.15 0.43 0.68 4.07 0.43 0.41  8 
45.0 -15.13 0.43 0.68 4.10 0.43 0.41  8 
45.5 -15.10 0.44 0.68 4.13 0.44 0.41  8 
46.0 -15.08 0.45 0.68 4.15 0.44 0.41  8 
46.5 -15.05 0.45 0.68 4.18 0.44 0.42  8 
47.0 -15.03 0.46 0.68 4.21 0.45 0.42  8 
47.5 -15.00 0.47 0.68 4.24 0.45 0.42  8 
48.0 -14.98 0.47 0.68 4.26 0.46 0.42  7 
48.5 -14.95 0.48 0.68 4.29 0.46 0.42  7 
49.0 -14.93 0.49 0.68 4.32 0.46 0.42  7 
49.5 -14.91 0.49 0.68 4.35 0.47 0.43  7 
50.0 -14.88 0.50 0.68 4.37 0.47 0.43  7 
50.5 -14.86 0.51 0.68 4.40 0.48 0.43  7 
51.0 -14.83 0.51 0.68 4.43 0.48 0.43  7 
51.5 -14.81 0.52 0.68 4.45 0.48 0.43  7 
52.0 -14.79 0.53 0.68 4.48 0.49 0.44  7 
52.5 -14.76 0.54 0.68 4.51 0.49 0.44  7 
53.0 -14.74 0.54 0.68 4.54 0.50 0.44  6 
53.5 -14.71 0.55 0.68 4.56 0.50 0.44  6 
54.0 -14.69 0.56 0.68 4.59 0.50 0.44  6 
54.5 -14.66 0.56 0.68 4.62 0.51 0.44  6 
55.0 -14.64 0.57 0.68 4.65 0.51 0.45  5 
55.5 -14.61 0.58 0.68 4.67 0.52 0.45  5 
56.0 -14.59 0.58 0.68 4.70 0.52 0.45  5 
56.5 -14.56 0.59 0.68 4.73 0.52 0.45  5 
57.0 -14.54 0.60 0.68 4.76 0.53 0.45  4 
57.5 -14.51 0.61 0.68 4.79 0.53 0.45  4 
58.0 -14.49 0.61 0.68 4.82 0.53 0.45  4 
58.5 -14.46 0.62 0.68 4.84 0.54 0.46  4 
59.0 -14.43 0.63 0.68 4.87 0.54 0.46  4 
59.5 -14.41 0.64 0.68 4.90 0.55 0.46  4 
60.0 -14.38 0.64 0.68 4.93 0.55 0.46  4 
60.5 -14.35 0.65 0.68 4.96 0.55 0.46  4 
61.0 -14.33 0.66 0.68 4.99 0.56 0.46  4 
61.5 -14.30 0.67 0.68 5.02 0.56 0.47  4 
62.0 -14.27 0.67 0.68 5.05 0.56 0.47  4 
62.5 -14.24 0.68 0.68 5.08 0.57 0.47  4 
63.0 -14.21 0.69 0.68 5.11 0.57 0.47  4 
63.5 -14.19 0.70 0.68 5.14 0.57 0.47  4 
64.0 -14.16 0.70 0.68 5.17 0.58 0.47  4 
64.5 -14.13 0.71 0.68 5.20 0.58 0.47  3 
65.0 -14.10 0.72 0.68 5.23 0.59 0.48  3 
65.5 -14.07 0.73 0.68 5.26 0.59 0.48  3 
66.0 -14.04 0.73 0.67 5.29 0.59 0.48  3 
66.5 -14.01 0.74 0.67 5.32 0.60 0.48  3 
67.0 -13.98 0.75 0.67 5.35 0.60 0.48  3 
67.5 -13.94 0.76 0.67 5.38 0.60 0.48  3 
68.0 -13.91 0.76 0.67 5.41 0.61 0.48  3 
68.5 -13.88 0.77 0.67 5.44 0.61 0.48  3 
69.0 -13.85 0.78 0.67 5.48 0.61 0.49  3 
69.5 -13.81 0.79 0.67 5.51 0.62 0.49  3 
70.0 -13.78 0.79 0.67 5.54 0.62 0.49  3 
70.5 -13.75 0.80 0.67 5.57 0.62 0.49  2 
